epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.47632,2.59761,0.16892,0.62838,2.58789,7.14e-05,7.14e-05,7.14e-05
2,4.5084,2.01545,0.2973,0.91216,1.95671,0.000149445,0.000149445,0.000149445
3,5.39303,1.56829,0.36486,0.9527,1.82031,0.000226972,0.000226972,0.000226972
4,6.22481,1.29237,0.31757,0.97973,1.61719,0.000303981,0.000303981,0.000303981
5,7.15249,1.22322,0.62162,0.99324,1.38867,0.000380471,0.000380471,0.000380471
6,8.05349,1.11172,0.64865,0.98649,1.36556,0.000456442,0.000456442,0.000456442
7,8.85108,1.02838,0.67568,0.98649,1.06673,0.000531896,0.000531896,0.000531896
8,9.76713,0.89856,0.64189,0.98649,1.17188,0.000606831,0.000606831,0.000606831
9,10.6257,0.87978,0.68919,1,0.95898,0.000681247,0.000681247,0.000681247
10,11.4764,0.87031,0.64865,1,0.78076,0.000692794,0.000692794,0.000692794
11,12.4144,0.78646,0.67568,1,0.90967,0.000690438,0.000690438,0.000690438
12,13.3117,0.6951,0.69595,1,0.85059,0.000688082,0.000688082,0.000688082
13,14.1957,0.65647,0.75,1,0.76042,0.000685726,0.000685726,0.000685726
14,15.1152,0.49626,0.78378,1,0.92041,0.000683369,0.000683369,0.000683369
15,15.9875,0.4853,0.76351,1,0.63314,0.000681013,0.000681013,0.000681013
16,16.8084,0.49174,0.7973,1,0.74642,0.000678657,0.000678657,0.000678657
17,17.6806,0.47027,0.76351,1,0.82243,0.000676301,0.000676301,0.000676301
18,18.4799,0.47221,0.75676,1,0.64746,0.000673945,0.000673945,0.000673945
19,19.368,0.41115,0.7973,1,0.73438,0.000671588,0.000671588,0.000671588
20,20.2466,0.41916,0.75676,1,0.51229,0.000669232,0.000669232,0.000669232
21,21.0667,0.40113,0.81081,1,0.49854,0.000666876,0.000666876,0.000666876
22,21.9832,0.36674,0.68919,1,0.52311,0.00066452,0.00066452,0.00066452
23,22.835,0.40075,0.83784,1,0.45882,0.000662164,0.000662164,0.000662164
24,23.7352,0.30157,0.66216,1,0.93994,0.000659807,0.000659807,0.000659807
25,24.664,0.3625,0.7027,1,0.69206,0.000657451,0.000657451,0.000657451
26,25.5086,0.36508,0.82432,1,0.53825,0.000655095,0.000655095,0.000655095
27,26.3392,0.44463,0.77027,1,0.68132,0.000652739,0.000652739,0.000652739
28,27.2365,0.38505,0.75676,0.90541,0.7277,0.000650383,0.000650383,0.000650383
29,27.9786,0.32473,0.82432,0.91892,0.5236,0.000648026,0.000648026,0.000648026
30,28.9207,0.36352,0.81757,1,0.39217,0.00064567,0.00064567,0.00064567
31,29.8214,0.46865,0.85135,1,0.42253,0.000643314,0.000643314,0.000643314
32,30.772,0.32891,0.81081,1,0.49243,0.000640958,0.000640958,0.000640958
33,31.5959,0.32955,0.74324,1,0.84798,0.000638602,0.000638602,0.000638602
34,32.4759,0.27872,0.82432,0.93243,0.84334,0.000636245,0.000636245,0.000636245
35,33.3418,0.30503,0.83784,1,0.63021,0.000633889,0.000633889,0.000633889
36,34.2006,0.26997,0.73649,1,0.72233,0.000631533,0.000631533,0.000631533
